group, site, buildname 
Nightly, cori07.nersc.gov, Trilinos-Linux-5.3.18-150200.24.145-default-gcc-8.3.0-Release-Serial
Nightly, cori07.nersc.gov, Albany-Linux-5.3.18-150200.24.145-default-gcc-8.3.0-Release-Serial
Nightly, cori07.nersc.gov, CismAlbany-Linux-5.3.18-150200.24.145-default-gcc-8.3.0-Release-Serial
Nightly, pm-cpu, Trilinos-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-serial  
Nightly, pm-gpu, Trilinos-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-cuda  
Nightly, pm-cpu, Albany-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-serial 
Nightly, pm-gpu, Albany-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-cuda 
Nightly, pm-cpu, MALI-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-serial 
Nightly, pm-cpu, compass-Linux-5.14.21-150400.24.46_12.0.72-cray_shasta_c-gcc-11.2.0-Release-serial 
