group, site, buildname 
Nightly, attaway.sandia.gov, Albany-Linux-4.18.0-553.126.1.1toss.t4.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, attaway.sandia.gov, Trilinos-Linux-4.18.0-553.126.1.1toss.t4.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-553.126.1.el8_10.x86_64-gcc-13.2.0-Release-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-553.126.1.el8_10.x86_64-gcc-13.2.0-Debug-FPE-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-553.126.1.el8_10.x86_64-gcc-13.2.0-Release-OpenMP
Nightly, cee-compute030, Albany-Linux-4.18.0-553.139.1.el8_10.x86_64-gcc-11.4.0-Debug-Serial
Nightly, cee-compute030, Trilinos-Linux-4.18.0-553.139.1.el8_10.x86_64-gcc-11.4.0-Debug-Serial
Nightly, cee-compute031, Albany-Linux-4.18.0-553.139.1.el8_10.x86_64-gcc-11.4.0-Release-Serial
Nightly, cee-compute031, Trilinos-Linux-4.18.0-553.139.1.el8_10.x86_64-gcc-11.4.0-Release-Serial
Nightly, cee-compute033, Albany-Linux-4.18.0-553.139.1.el8_10.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, cee-compute033, Trilinos-Linux-4.18.0-553.139.1.el8_10.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, hayka.ca.sandia.gov, Albany-Linux-5.14.0-687.12.1.el9_8.x86_64-gcc-11.4.0-Release
Nightly, hayka.ca.sandia.gov, Trilinos-Linux-5.14.0-687.12.1.el9_8.x86_64-gcc-11.4.0-Release
