group, site, buildname 
Nightly, attaway.sandia.gov, Albany-Linux-4.18.0-553.27.1.1toss.t4.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, attaway.sandia.gov, Trilinos-Linux-4.18.0-553.27.1.1toss.t4.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, blake.sandia.gov, Trilinos-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Release
Nightly, blake.sandia.gov, Trilinos-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Debug-No-Warn
Nightly, blake.sandia.gov, Albany-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Debug-No-Warn
Nightly, blake.sandia.gov, Albany-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Release-sfad6
Nightly, blake.sandia.gov, Albany-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Release-sfad12
Nightly, blake.sandia.gov, Albany-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Release-sfad24
Nightly, blake.sandia.gov, MALI-Linux-4.18.0-477.21.1.el8_8.x86_64-gcc-12.2.0-Release
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.10.1.el8_7.x86_64-gcc-11.1.0-Debug-FPE-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.10.1.el8_7.x86_64-gcc-11.1.0-Release-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.10.1.el8_7.x86_64-gcc-11.1.0-Release-OpenMP
Nightly, cee-compute002, Albany-Linux-4.18.0-553.44.1.el8_10.x86_64-clang-11.0.1-Release-Serial
Nightly, cee-compute002, Trilinos-Linux-4.18.0-553.44.1.el8_10.x86_64-clang-11.0.1-Release-Serial
Nightly, cee-compute005, Trilinos-Linux-4.18.0-553.44.1.el8_10.x86_64-clang-11.0.1-Debug-Serial
Nightly, cee-compute005, Albany-Linux-4.18.0-553.44.1.el8_10.x86_64-clang-11.0.1-Debug-Serial
Nightly, cee-compute006, Albany-Linux-4.18.0-553.44.1.el8_10.x86_64-gcc-10.3.0-Release-Serial
Nightly, cee-compute006, Trilinos-Linux-4.18.0-553.44.1.el8_10.x86_64-gcc-10.3.0-Release-Serial
Nightly, cee-compute030, Albany-Linux-4.18.0-553.44.1.el8_10.x86_64-gcc-10.3.0-Debug-Serial
Nightly, cee-compute030, Trilinos-Linux-4.18.0-553.44.1.el8_10.x86_64-gcc-10.3.0-Debug-Serial
Nightly, cee-compute003, Albany-Linux-4.18.0-553.44.1.el8_10.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, cee-compute003, Trilinos-Linux-4.18.0-553.44.1.el8_10.x86_64-Intel(R)-18.0.0-Release-Serial
Nightly, hayka.ca.sandia.gov, Albany-Linux-5.14.0-503.35.1.el9_5.x86_64-gcc-11.4.0-Release
Nightly, hayka.ca.sandia.gov, Trilinos-Linux-5.14.0-503.35.1.el9_5.x86_64-gcc-11.4.0-Release
Nightly, weaver.sandia.gov, Trilinos-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-cuda_11.2.r11.2-Release
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad6
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad12
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad24
Nightly, weaver.sandia.gov, AlbanyPerfTests-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad
Nightly, weaver.sandia.gov, MALI-Linux-4.18.0-372.9.1.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2
