group, site, buildname 
Nightly, attaway.sandia.gov, Trilinos-Linux-3.10.0-1160.76.1.1chaos.ch6.x86_64-icc-19.0.5.281-Release-Serial
Nightly, attaway.sandia.gov, Albany-Linux-3.10.0-1160.76.1.1chaos.ch6.x86_64-icc-19.0.5.281-Release-Serial
Nightly, camobap.ca.sandia.gov, CismAlbany-Linux-4.18.0-425.3.1.el8_6.x86_64-gcc-11.1.0-Release-Serial	 
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.3.1.el8_6.x86_64-gcc-11.1.0-Debug-FPE-Serial
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.3.1.el8_6.x86_64-gcc-11.1.0-Release-OpenMP
Nightly, camobap.ca.sandia.gov, Albany-Linux-4.18.0-425.3.1.el8_6.x86_64-gcc-11.1.0-Release-Serial
Nightly, cee-compute007, Albany-Linux-3.10.0-1062.1.2.el7.x86_64-gcc-10.1.0-Debug-Serial
Nightly, cee-compute007, Trilinos-Linux-3.10.0-1062.1.2.el7.x86_64-gcc-10.1.0-Debug-Serial
Nightly, cee-compute008, Albany-Linux-3.10.0-1127.el7.x86_64-clang-11.0.1-Debug-Serial
Nightly, cee-compute008, Trilinos-Linux-3.10.0-1127.el7.x86_64-clang-11.0.1-Debug-Serial
Nightly, cee-compute020, Albany-Linux-3.10.0-1062.9.1.el7.x86_64-icc-2021.3.0-Release-Serial
Nightly, cee-compute020, Trilinos-Linux-3.10.0-1062.9.1.el7.x86_64-icc-2021.3.0-Release-Serial
Nightly, cee-compute025, Albany-Linux-3.10.0-1062.9.1.el7.x86_64-gcc-10.1.0-Release-Serial
Nightly, cee-compute025, Trilinos-Linux-3.10.0-1062.9.1.el7.x86_64-gcc-10.1.0-Release-Serial
Nightly, cee-compute024, Albany-Linux-3.10.0-1062.9.1.el7.x86_64-clang-11.0.1-Release-Serial
Nightly, cee-compute024, Trilinos-Linux-3.10.0-1062.9.1.el7.x86_64-clang-11.0.1-Release-Serial
Nightly, mockba.ca.sandia.gov, Albany-Linux-3.10.0-1160.81.1.el7.x86_64-gcc-10.1.0-Release-Serial-No-Epetra
Nightly, mockba.ca.sandia.gov, Albany-Linux-3.10.0-1160.81.1.el7.x86_64-gcc-10.1.0-Release-Serial
Nightly, mockba.ca.sandia.gov, CismAlbany-Linux-3.10.0-1160.81.1.el7.x86_64-gcc-10.1.0-Release-Serial
Nightly, weaver.sandia.gov, Trilinos-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad4 
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad6
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad8
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad12
Nightly, weaver.sandia.gov, Albany-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad24
Nightly, weaver.sandia.gov, AlbanyPerfTests-Linux-4.18.0-240.el8.ppc64le-gcc-8-Release-cuda_11.2.r11.2-sfad 
