group, site, buildname 
Nightly, blake.sandia.gov, blake-serial-Trilinos
Nightly, blake.sandia.gov, blake-openmp-Trilinos
Nightly, blake.sandia.gov, blake-serial-Albany
Nightly, blake.sandia.gov, blake-openmp-Albany
Nightly, blake.sandia.gov, blake-serial-sfad-Albany
Nightly, blake.sandia.gov, blake-serial-sfad-Albany-PerfTests
Nightly, cee-compute011, Linux-3.10.0-1062.9.1.el7.x86_64-base-trilinos-Release
Nightly, cee-compute011, Linux-3.10.0-1062.9.1.el7.x86_64-base-albany-Release
Nightly, cee-compute012, Linux-3.10.0-1062.9.1.el7.x86_64-clangdbg-trilinos-Debug
Nightly, cee-compute012, Linux-3.10.0-1062.9.1.el7.x86_64-clangdbg-albany-Debug
Nightly, cee-compute016, Linux-3.10.0-1062.1.2.el7.x86_64-clang-trilinos-Release
Nightly, cee-compute016, Linux-3.10.0-1062.1.2.el7.x86_64-clang-albany-Release
Nightly, cee-compute019, Linux-3.10.0-1062.9.1.el7.x86_64-intel-trilinos-Release
Nightly, cee-compute019, Linux-3.10.0-1062.9.1.el7.x86_64-intel-albany-Release
Nightly, cee-compute020, Linux-3.10.0-1062.9.1.el7.x86_64-debug-trilinos-Debug
Nightly, cee-compute020, Linux-3.10.0-1062.9.1.el7.x86_64-debug-albany-Debug
Nightly, camobap.ca.sandia.gov, fedora31-gcc9.2.1-Release-Albany
Nightly, camobap.ca.sandia.gov, fedora31-gcc9.2.1-Release-No-Epetra-Albany 
Nightly, camobap.ca.sandia.gov, fedora31-gcc9.2.1-Release-Openmp-Albany
Nightly, camobap.ca.sandia.gov, fedora31-gcc9.2.1-Debug-FPE-Albany
Nightly, mayer.sandia.gov, mayer-Release-Trilinos
Nightly, mayer.sandia.gov, mayer-Release-Albany
Nightly, mockba.ca.sandia.gov, mockba-rhel7-gcc6.1.0-Release-Albany
Nightly, mockba.ca.sandia.gov, mockba-rhel7-gcc6.1.0-Release-Cism-Albany
Nightly, ride.sandia.gov, ride-CUDA-Trilinos
Nightly, ride.sandia.gov, ride-CUDA-Albany
Nightly, skybridge-login5, skybridge-login5-trilinos
Nightly, skybridge-login5, skybridge-login5-albany
Nightly, waterman.sandia.gov, waterman-CUDA-Trilinos
Nightly, waterman.sandia.gov, waterman-CUDA-Albany
Nightly, waterman.sandia.gov, waterman-CUDA-Albany-SFAD 
Nightly, waterman.sandia.gov, waterman-CUDA-Albany-Perf-Tests
